date,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
2019-09-28,1.54012561720804397,1.16804139314024091,0.462021604646323247,32.1630524187659077,9.26363872371462804,41.4266911424805357,104.314076967771442,-72.1510245490055411,0.378177681090347217,0.24572017188496928,0.252665523841736683,0.212380945059844561,0.159438368042350592,0.163230098429616333,0.610644505348775568,0.282377855479858053,0.840561631957649436,1,0.252665523841736683,0.732692103179761078,2.74100433206613037,0.503617762418058668,0.530066734179844734,18.382829977628635,0.6798573486043481,3.74100433206613037,11.3484253685771606,3.49904836058482571,39.4013638577691196,6.96061854566857541,0.768572238830660837,15.0267419747006929,12.7540314355171702,21.7757935863437275,0.25551976255972203,0.266709971019394698,0.848755602311539015,0.6798573486043481,6.76325536062378152,6.61181515007146281,2.81916795319736746,0.25551976255972203,12.7096582718150461,12.7096582718150461,4.42039388140244593,20.81351450883162,19.5271590209861436,16.5737856162902979,16.5737856162902979,1.6145093305735827,4.42039388140244593,0.0122766274024168048,15.7340711285746035,12.7096582718150461
2018-09-29,1.12384269162972972,0.765723135899235019,0.22173258261598755,31.8638905099870087,8.81763110969979635,40.681521619686805,124.570214221158309,-92.7063237111713079,0.383437188200079049,0.266940266194770237,0.274489354091756232,0.224142020745872472,0.18342180705869443,0.162775309317109845,0.555601183420907696,0.292949019324195647,0.816578192941305625,1,0.274489354091756232,0.70702850502426684,2.41330135234770937,0.46661721806831874,0.488963398929726345,22.5009259259259267,0.755313649177225654,3.41330135234770937,11.4549728284309502,2.93007443458345262,41.3943377148634966,6.43024888630641112,0.726215052293389896,15.626258103066629,12.9396814813484422,13.3796076464010714,0.230333775679897879,0.291549163199608441,0.828072939535604569,0.755313649177225654,8.81534608378870743,5.81642004056185691,2.86527289546716002,0.230333775679897851,9.81575979243469376,9.81575979243469376,3.95989839597883986,17.6669166397339197,16.4022584563559519,13.5822663749774009,13.5822663749774009,1.47059905557532633,3.95989839597883986,0.0130375764134112587,13.7936604012175899,9.81575979243469376
2017-09-30,1.27606284841391071,0.91311722578213339,0.201251810264447412,28.4600451939939099,12.5636308207135148,41.0236760147074264,126.927606204979853,-98.4675610109859463,0.384698604918991049,0.267604282087299417,0.279578945531640144,0.210924208450753381,0.245564761503534151,0.128826411665809631,0.360701843383290921,0.233471157173821969,0.754435238496465876,1,0.279578945531640144,0.642845153056466612,1.79990600311830917,0.420347323721968036,0.436185068349106198,27.5888936719758924,0.613270590050432496,2.79990600311830917,12.8249972026407075,2.87565495728761045,29.0521112255406813,6.78548382322469923,0.610771104047490243,12.1899655028461407,9.73752032203988271,14.2184318841257511,0.264089677566130998,0.277437029410994851,0.798814428126670695,0.613270590050432496,9.79033251231527046,4.97053536537710006,2.48779533719292756,0.264089677566131054,6.48890751930293153,6.48890751930293153,3.79445713218806979,17.9896710769167143,17.1214020085428018,13.6768229541809472,13.6768229541809472,1.57659820108305104,3.79445713218806979,0.0146800726059408242,13.3317378252052414,6.48890751930293153
2016-09-24,1.35266941751259395,1.04940131129281311,0.259271447738146477,26.6659092279225938,5.92330410425039577,32.5892133321729887,103.613369260747774,-76.9474600328251768,0.390759556480970494,0.278354101067061155,0.284605289395703009,0.211867983064288001,0.255572573812161918,0.142023588219568148,0.35623669580269629,0.252892698203395438,0.744427426187838082,1,0.284605289395703009,0.601322407565141215,1.50829246231939429,0.370328364657593445,0.380965942001003977,42.1510989010988979,0.833985835012099774,2.50829246231939429,13.6878887901485342,3.52271142811176041,61.6210131332082582,7.98367271380969967,0.670340021014281029,12.0318343502436562,9.5554231358370405,12.2751251183552004,0.265939982927309748,0.305250905448457843,0.794178415167720031,0.833985835012099774,18.8068571428571438,4.85857691172128714,2.56144447038680045,0.265939982927309748,5.01868999368416091,5.01868999368416091,2.98481245507538073,14.0880769803226311,12.3123799257785596,9.7782263763976669,9.7782263763976669,1.29467560271940108,2.98481245507538073,0.018876954129279571,9.95455731684838874,5.01868999368416091
2015-09-26,1.1087706239920605,0.725096141917876191,0.262002232973576499,26.3136084547418854,6.12028781703060165,32.4338962717724897,92.4687163160562164,-66.1551078613143346,0.400599020174143727,0.304772907173266605,0.310271056628800057,0.228457736987356386,0.263683375853271729,0.183813631966510488,0.447354530601985656,0.345525065636182571,0.736316624146728271,1,0.310271056628800057,0.589109711889671872,1.43373968413556208,0.309360136096934357,0.319208523939355893,98.9290586630286555,1.45213801976305779,2.43373968413556208,13.8711496231230331,3.94728092420400101,59.6377181779480665,10.4007387299185616,0.804584840900719134,14.1248137412506409,12.1280886623801738,7.23065459663042187,0.216522455706633699,0.347714096228312286,0.858637068392685721,1.45213801976305779,32.5063999999999993,7.07399025069637855,3.52579287604668323,0.216522455706633671,5.55698858765866532,5.55698858765866532,2.83787678531544829,12.4218895920889985,9.505207556536444,8.1615235508084556,8.1615235508084556,1.20052343214134272,2.83787678531544829,0.017430718096587184,8.46311992047231598,5.55698858765866532
2014-09-27,1.08011284831673171,0.670423023578363364,0.218194426932291019,34.863645066878199,6.86378699068217824,41.7274320575603781,98.1804414830123449,-63.3167964161341459,0.385880357777838578,0.287223392324735372,0.292584589294017872,0.216143767608523218,0.261260587476394357,0.170419989734255234,0.35420047155010892,0.317611986388821266,0.738739412523605643,1,0.292584589294017872,0.518860070997545719,1.07839744681614036,0.206263253020621345,0.240360387355116389,139.278645833333343,1.69182603768239126,2.07839744681614036,10.4693585337915227,3.71764472115512001,53.1776409284699199,8.86321761055081403,0.788456644481730806,9.81222471774222704,8.19972222824740271,4.12073014664849868,0.281599595039230599,0.326666484313028249,0.835663925778306282,1.69182603768239126,9.46623335447051417,6.08509120554366678,2.85175987391948027,0.281599595039230544,5.73439422772463647,5.73439422772463647,3.49929961388440569,16.1896854700075927,12.8187269122244487,10.7121476549495078,10.7121476549495078,1.65499481925526259,3.49929961388440569,0.0173937656516497154,10.9365824566163212,5.73439422772463647
2013-09-28,1.67863850840624851,1.22882404141279955,0.326606807457968773,27.9809841437013631,6.03962253531696192,34.0206066790183286,76.5806333602236293,-48.5996492165222662,0.376244807208472309,0.286694751623661592,0.293458545433268991,0.216704698379263927,0.261549197487787877,0.178922705314009667,0.299775797456879434,0.307055135849934491,0.738450802512212179,1,0.293458545433268991,0.403144927536231878,0.675448607435106707,0.120704011842657763,,368.786764705882376,,1.67544860743510671,13.0445733475805223,4.7662180891491932,60.4342403628117921,10.2976441525576909,0.825652173913043463,57.99654393941195,48.188161857756846,43.8178338345954046,0.28522828522828525,0.314001521268503891,0.830879886706667126,,,5.91295724988981952,2.73248472505091655,0.285228285228285194,0.566961745542254536,0.566961745542254536,0.409850545316248316,1.89128592218592217,1.57092524557075586,1.30525019006447285,1.30525019006447285,0.029397549069597715,0.409850545316248316,0.150811826959840273,1.30476642334457282,0.566961745542254536
2012-09-29,1.49584868455191744,1.03935965959213328,0.278812723781848348,25.4903902675901541,3.28660382942877316,28.7769940970189282,87.9820936639118543,-62.4917033963216966,0.438712398088276612,0.352959593119840542,0.356294885884427648,0.266650906023973233,0.251600523644710639,0.237033124318429655,0.353041197868200651,0.405484213434941343,0.748399476355289361,1,0.356294885884427648,0.328596419483824065,0.489417138989933165,,,,,1.48941713898993311,14.3191216834400734,4.14857142857142858,111.056890012642228,10.1286564845974638,0.888926753907669953,54.4020333369704048,44.3444606329788229,31.1600760789800795,0.0596170895933673603,0.324941856007360641,0.81512505899008969,,,5.40906190172303791,4.27720773759461714,0.0596170895933673534,0.68239104322815336,0.68239104322815336,0.515407808035372006,1.93289351879807358,1.94590257200752648,1.58615394879660232,1.58615394879660232,0.0303523148184269946,0.515407808035372006,0.0308434422349550368,1.194836549779555,0.68239104322815336
2011-09-24,1.60843761172685018,1.11980693600286019,0.350911691097604561,18.1034928729133782,4.39602054911455653,22.4995134220279347,82.889913240520869,-64.7864203676074908,0.404788958789457642,0.312150689613760857,0.315984443274302751,0.239466415394137599,0.242157579301271741,0.222753091405934467,0.338341055928995604,0.386930012103935461,0.757842420698728203,1,0.315984443274302751,0.341631506131252649,0.518906219408731939,,,,,1.51890621940873194,20.1618550940584846,4.40343083652269041,83.0296391752577279,13.9191204834769184,0.930205979152881723,40.6044632559307033,32.5417794598477883,28.0787399189403821,0,0.346691424401149195,0.801433558048442518,,,5.03609769189479373,,,0.699330891600861371,0.699330891600861371,0.494962875038106598,2.06694067818841143,1.7814022761578614,1.42767556449678912,1.42767556449678912,0.0320906159369247074,0.494962875038106598,,1.22919436748679933,0.699330891600861371
2010-09-25,2.01129234629861964,1.50226812083775707,0.543432101148537794,30.8340360291299334,9.70170203080347093,40.5357380599334078,110.909562226549667,-80.0755261974197339,0.393775392870831742,0.28187044844768111,0.284246837868915303,0.214840935224223845,0.244174757281553412,0.18638522006304617,0.293214203511121319,0.340427094618167114,0.755825242718446644,1,0.284246837868915303,0.364337682720827838,0.573162310895356852,,,,,1.57316231089535696,11.8375680580762257,3.2909696213066999,37.6222645099904867,13.6797399328859068,0.867549845044757406,20.4461763616031931,18.1140257801049209,28.1705317765137799,0,0.285090072824837115,0.885937079860177445,,,8.76709099481376697,,,0.839602002887572918,0.839602002887572918,0.615184658029896525,2.86344246913580225,2.43568163894621836,2.15786067867706333,2.15786067867706333,0.0437450950164236449,0.615184658029896525,,1.48693691118895521,0.839602002887572918
2009-09-26,1.880769629706462,1.39119385955813701,0.272948864225702748,33.5759640911952246,7.09813223917596225,40.6740963303711851,87.3772278497243207,-53.801263758529096,0.359635438049100919,0.209595752251142686,0.218518214412787043,0.156115718312943047,0.285571142284569146,0.105921895600824503,0.204943949410750226,0.230958373108854753,0.714428857715430854,1,0.218518214412787043,0.483166515013648767,0.934859154929577496,0.108177390412714694,,,,1.9348591549295775,10.8708717643558472,4.17728976968398502,51.4219780219780205,12.3686526743398773,0.678483222224285476,11.3760559721214403,10.0950038969066629,26.2750051510835192,0,0.278046911350138204,0.887390491190077735,,,8.88024475524475498,,,0.928246366772060849,0.928246366772060849,0.707090151900812813,4.52926943899018219,2.86577402995008335,2.5430606240771727,2.5430606240771727,0.0679429217941787678,0.707090151900812813,,2.86424505202726953,0.928246366772060849
2008-09-27,2.46168038603462946,1.90973602043712742,0.842676695997729208,27.2185104221189071,8.70839973750820207,35.9269101596271128,94.4407987250398406,-67.2222883029209299,0.343144801256196286,0.193201761137966083,0.212291018812155535,0.148834631608116025,0.298912255257432924,0.122157080764176695,0.229862101759391341,0.270604395604395587,0.701087744742567076,1,0.212291018812155535,0.468563630850096002,0.881692819781264903,0.289575028714276039,,,,1.88169281978126479,13.4099917423616848,3.86485507246376825,41.913555992141454,13.2297352342158856,0.820757100980491261,10.8848537645532168,9.64731984863746561,27.7792901931959442,0,0.295452446196003582,0.886306794497707329,,,8.79560036663611378,,,0.551676211126961524,0.551676211126961524,0.357207756396440756,2.40003117914770403,1.36410943209876545,1.20901945810754485,1.20901945810754485,0.0355419577579275184,0.357207756396440756,,1.22980893894487253,0.551676211126961524
2007-09-29,2.36111409829013885,1.83062694913431545,1.00569953758468644,24.8898192118636992,7.96681806712086793,32.8566372789845644,114.436664143325757,-89.5468449314620614,0.339665083729067729,0.183662417728901101,0.208614513038407057,0.145630259101891202,0.301916932907348223,0.137925592772320194,0.240572529589870632,0.312063808574277179,0.698083067092651777,1,0.208614513038407057,0.426677713338856679,0.744219653179190699,0.229521234292985515,,,,1.7442196531791907,14.6646304215027481,3.18953722334004031,45.8150289017341024,13.1037117903930138,0.947094330690022468,6.32666161613240874,5.47655260555520229,17.7956152880828604,0,0.227859701741231352,0.86563071297989036,,,7.44217687074829914,,,1.57307265345444547,1.57307265345444547,0.952257427309839199,6.53887065217391328,4.82785465681098191,4.17913926873857466,4.17913926873857466,0.094966905839248536,0.952257427309839199,,3.77420478205670751,1.57307265345444547
2006-09-30,2.2421573172616287,1.75583371967238455,0.987791685983619216,32.8031009977747487,9.96662621359223344,42.769727211366984,125.136529126213588,-92.3334281284388396,0.290216064891249736,0.118440887229918884,0.130284975952910775,0.0958294451223889177,0.264462809917355379,0.0775937227550130837,0.133713942307692318,0.16908887646730017,0.735537190082644621,1,0.130284975952910775,0.419703574542284241,0.723257211538461564,0.235820895522388052,,,,1.72325721153846145,11.1269968051118209,2.91681415929203558,36.62222222222222,10.8750975800156127,0.809706480674222573,2.74603278664191119,1.93335551600058886,12.5055817445719466,0,0.159356830091163582,0.704054054054054079,,,3.37899543378995437,,,0.930385027043269197,0.930385027043269197,0.666783727657741743,6.95802555056179806,5.94303525911708252,4.18421806756756798,4.18421806756756798,0.0944909243599239002,0.666783727657741743,,3.18824752533333333,0.930385027043269197
2005-09-24,2.95637198622273267,2.62801377726750873,1.00200918484500567,23.4495011126265176,6.09071601941747609,29.5402171320439919,65.6689927184466029,-42.2194916058200818,0.290216064891249736,0.118440887229918884,0.130284975952910775,0.0958294451223889177,0.264462809917355379,0.115574409142065626,0.178810608090008039,0.224990702863518049,0.735537190082644621,1,0.130284975952910775,0.353649034715609045,0.547147066702384111,0.185912114273252632,,,,1.54714706670238411,15.5653631284916205,5.558178752107926,59.9272727272727295,17.0514075887392913,1.20604276686001222,3.13567257393569587,2.81406513045511186,10.2184580407427159,0,0.181968272198693548,0.897435897435897467,,,9.75,,,0.878173090008036339,0.878173090008036339,0.470636730313688911,4.91119122846441947,2.88195177582417594,2.58636697830374729,2.58636697830374729,0.0666946385168827455,0.470636730313688911,,2.6082232312739202,0.878173090008036339
2004-09-25,2.63246268656716431,2.3276119402985076,1.10783582089552235,34.123686435559847,6.12375415282391966,40.2474405883837676,87.9759136212624497,-53.8522271857026027,0.272859040946974274,0.0393767363208116922,0.0462616258002174208,0.0333373595844908832,0.279373368146214107,0.0342857142857142874,0.0543735224586288438,0.0713221601489757856,0.720626631853785948,1,0.0462616258002174208,0.369440993788819894,0.585894405043341227,0.194924662965900081,,,,1.58589440504334123,10.6963824289405682,4.14886285320468673,59.6039603960396036,11.7100424328147099,1.02844720496894415,2.51352296886353255,2.03988266637961191,14.7043784816598944,0,0.11281555743447276,0.811563169164882248,,,5.30681818181818166,,,0.248897951142631996,0.248897951142631996,0.152603696098562613,4.57755797101449247,1.66676253298153032,1.35268308351177713,1.35268308351177713,0.0285729244670721999,0.152603696098562613,,-1.00124789915966383,0.248897951142631996
2003-09-27,2.49766652524395427,2.26219770895205752,1.44081459482392882,45.0443048171419349,4.54323182929539904,49.5875366464373357,93.6230273394087504,-48.5787225222668155,0.275173191557918473,-0.000161108425970678276,0.0148219751893024013,0.0111164813919768009,0.260869565217391297,0.0101247248716067502,0.0163390954297892507,0.0206370569762225203,0.75,1,0.0148219751893024013,0.380337490829053548,0.613781671797300477,0.175517376024990235,,,,1.61378167179730059,8.10313315926893019,3.89861351819757385,80.3392857142857082,9.27802690582959677,0.910785033015407142,0.801373148730974316,0.346614683707168802,12.6611411664554634,0,0.0465603351055260198,0.432525951557093447,,,1.76219512195121952,,,0.13748896755860765,0.13748896755860765,0.093542115353632993,8.41472333333333466,4.6449272800000001,2.00905159169550185,2.00905159169550185,0.0509752917038741871,0.093542115353632993,,-17.1105722321428573,0.13748896755860765
2002-09-28,3.24969843184559704,2.9565741857659833,1.35826296743063923,35.9151863462208283,3.96834984295723592,39.8835361891780664,80.3370379318675987,-44.4218515856467704,0.279171020550330884,0.00296064089167537422,0.0151515151515151519,0.011320097526994078,0.252873563218390829,0.0103207367418228016,0.0158730158730158721,0.0187499999999999993,0.747126436781609171,1,0.0151515151515151519,0.34979358526516352,0.537973137973137949,0.154275092936802971,,,,1.53797313797313806,10.1628318584070794,4.54335894621295289,91.9777777777777743,9.2463768115942031,0.911718005716100399,0.250688689715003576,-0.239421782312082054,12.2161443516176469,0,0.0154998258446534306,-0.9550561797752809,,,0.511494252873563204,,,0.0971000341880342011,0.0971000341880342011,0.0692484569836294001,6.11730215384615406,-4.67793694117647085,4.46769258426966331,4.46769258426966331,0.0364814440419742522,0.0692484569836294001,,-8.20278044444444454,0.0971000341880342011
2001-09-29,3.38801054018445313,3.16337285902503274,1.52173913043478271,31.7154577661756463,0.972625968992248069,32.6880837351678935,70.824854651162795,-39.1093968849871487,0.230281558829013605,-0.0641432034309155352,-0.00969606563490583648,-0.00466157001678165189,0.288461538461538436,-0.00415213419697724618,-0.00637755102040816341,-0.0115478569842327339,0.480769230769230782,1,-0.00969606563490583648,0.348945357913967802,0.535969387755102056,0.154625835669613965,,,,1.53596938775510194,11.5085836909871251,5.15355805243445708,375.272727272727252,9.50886524822695023,0.890715827935558924,0.535280790942470386,-0.135990254996195159,12.5458243758191959,0,0.0344956181241842241,-0.254054054054054068,,,0.797413793103448287,,,0.111089892857142852,0.111089892857142852,0.0811993995897818399,-17.4188952000000015,-9.26536978723404303,2.35390475675675637,2.35390475675675637,-0.101127087177396657,0.0811993995897818399,,4.78317198347107464,0.111089892857142852
